Label,Text
NEUTRAL,"‼️GTA KISAAN EKTA CAR RALLY‼️

Saturday December 5, 2020 @ 10:30am from Bramalea GO Station to Consulate General of India

#FarmersProtest #KisaanMajdoorEktaZindabad

Contact @AKSantalii @TejpalVirk96 @dollajatt for more info https://t.co/sTLXSd7raL"
PF_AG,Dear #Annadaata it’s been 6th consecutive day but would be long long run it may be longer than #ShaheenBagh but you are brave and confident don’t loose the Hope and don’t loose the battle ground we are with you we stand with you Jai Hind Jai Kisan!! #FarmerProtest
PF_AG,"This actually broke my heart... An elderly Kisaan risking his life protesting to protect his livelihood, his heritage, his own land, his family’s future, everything he’s ever known. Doesn’t look like a terrorist to me. #FarmersProtest #FuckYourDemocracy #KisaanEktaZindabaad https://t.co/flRzM02saY"
PROVOKING,"When farmers              When farmers 
demand water              demand rights 

#FarmersProtest #IStandWithFarmers 
#FarmersBill2020 #DelhiChalo https://t.co/32fny4PPJf"
PF_AG,.@nsui Rajasthan is encircling the houses of BJP MP’s in Rajasthan to support the farmers of our nation. I would like to request all the youngsters to do the same. #FarmersProtest2020 #FarmersProtest #SpeakUpForFarmers https://t.co/hHWdEoNFzs
PF_AG,"I am a daughter of farmers, of course I’m going to roar alongside them. It is my duty to help them achieve a life of comfort as they are the reason I have received mine.✊🏽♥️ #WeStandwithFarmers #FARMERSPROTEST"
PF_AG,Peaceful protests- we are not terrorists! 🙏🏽🙏🏽🙏🏽 #FarmerProtests #farmerprotest https://t.co/BS81Ot7Rd9
PF_AG,This is #FarmersProtest ! https://t.co/0KqP8vpLuz
PF_AG,"“the power of people is stronger than the people in power”;

our farmers are an epitome of resilience, strength, fearlessness and hope. 

ਕਿਸਾਨ ਮਜਦੂਰ ਏਕਤਾ ਜਿੰਦਾਬਾਦ. 

#IStandWithFarmers 
#FarmersProtest 
#FarmersBill2020 https://t.co/Eo2YyU8pDn"
PF_AG,"Coming together is the beginning. Keeping together is progress. Working together is success.
#delhidornahi #FarmerProtest https://t.co/U51MsBQgA7"
PF_AG,"The farmers are more articulate and aware than most ""experts"" and anchors you see on TV channels.
To say that the protesting farmers don't know what is good for them is typical of the urban elite.
#farmersprotest"
PF_AG,"#LeftRightCentre | Congress MP Deepender Hooda on farm laws

#FarmersProtest https://t.co/34eFWunBUQ"
PF_AG,.@JustinTrudeau If we are serious about protecting nature's biodiversity and a healthier future then we must reject #GMOs #GMFreeIndia #Seedfreedom @drvandanashiva #Farmerprotest #FarmersProtest #India #Canada https://t.co/DThNYys4A4
PG_AF,"On the instigation of Punjab CM &amp; Congress &amp; AAP #FarmersProtest is supported by  
Canadian Prime Minister Justin Trudeau 
Shaheenbaug Dadi Bilkis Bano 
Bhim Army head Chandrashekhar Azad 
National President of Swaraj India Yogendra Yadav 
What is their common interest?
Vote &amp; RT"
PF_AG,"Protestors have shown Godi Media its place.

Pic 1 : Anti CAA protests 2019.

Pic 2 : #FarmersProtest 2020 . https://t.co/p35hd0AbYJ"
PG_AF,"Honestly the people who think this bill is right ,why are farmers protesting am sure they dont know more than the ones for whom the bill has been passed that are the farmers so why not , not question them and just let it be if u cant support them
#FarmersProtest #HailHailFarmers"
NEUTRAL,The movement grows The @g8khali  of @WWE fame has now joined the protesting farmers #WWE #FarmersBill_2020 #FarmersProtests #farmerprotest https://t.co/PKEZwKQVEy
NEUTRAL,"The Great Khali has joined the protests in Delhi 
#FarmersProtest 
#KisaanMajdoorEktaZindabad https://t.co/GqGfHbe4XM"
PF_AG,"Hey Hypocrite &gt;&gt; @JustinTrudeau
Charity Begins At Home!
You Should be the Last Person on this Earth to Lecture on #FarmerProtest Before Preaching First Set Your
Own House in Order.Why Don't you Set An Exemplary Precedence By Setting Higher MSP For Farmers in Canada?
#FarmBill2020 https://t.co/vofGBR4uIW"
NEUTRAL,"Meet 83 year old Bhajan Singh ji. Been a farmer all his life, hails from Amritsar, Punjab. 

#FarmersProtest #FarmersDilliChalo https://t.co/1ruB7IeKfy"
NEUTRAL,"The farmers’ side ... 

My report ...

#FarmersProtest https://t.co/dGjChh8sE6"
PF_AG,Brilliant Answer #FarmerProtest #FarmersProtest https://t.co/DsjvNPP7yZ
PF_AG,"👉Here's my investigation- #KisanKoDhokaVerified

👉Worst fear of #FarmersProtest PROVEN true

👉'~1000 farmers not paid 2.7 crores by the big bad corporate'

👉Betrayed farmers left landless, money-less &amp; jobless &amp; slapped with FIRs

👉Full  Story  LINK👇 https://t.co/jjXN1hX3nJ https://t.co/aEBgEzCFZo"
PF_AG,"He's an officer who explained in desi language why #FarmersProtest is meaningless.

Because

The middleman is hurt

The middleman is a part of the system

Their income of thousands of crores is vanishing &amp; Farmer is now free from their clutches

So they are creating disturbance! https://t.co/iyLLY1BGQ8"
NEUTRAL,"Taxi Unions give Central government two day ultimatum. If farmers demands are not met private cabs, taxis, autos and trucks to go on an indefinite strike in Delhi #FarmerProtest #FarmersProtest https://t.co/pi7dimF1VO"
PF_AG,"#LeftRightCentre | Congress MP Deepender Hooda on farm laws

#FarmersProtest https://t.co/7X6qV281Nc"
PF_AG,"#FarmersProtest
Police can only detain but can not stop  82 year old Dadi of this Nation.
She  is a voice of millions.
Raise your hand ✋🇮🇳 https://t.co/wiEQnuhJPL"
